index,title,subtitle,category,price,origin_price,unit,vintage,abv,volume,main,nose,palate,finish
10,麥卡倫 GOLD 雪莉雙桶單一純麥威士忌,Macallan Highland Single Malt Scotch Whisky Double Cask Gold,"威士忌, 單一麥芽威士忌, 蘇格蘭",1470,1650,瓶,,40.0,700mL,風味迷人的 GOLD 雙桶是一款頌揚兩種風格均衡結合的單一麥芽威士忌，反映出完美諧調的風味與天然色澤。美國與歐洲歐洛羅索雪莉橡木桶的絕妙組合創造出此款別具特色的耀眼金黃色威士忌，先由美國橡木風格主導，再臣服於麥卡倫的經典風味。淡淡柑橘果香和硬糖果的甜味滿佈味蕾後，旋即帶出肉桂、生薑和烤蘋果的芳香。,在檸檬和柳橙果皮香氣間，夾雜交錯著香草和黑巧克力的香甜,柑橘果香和硬糖果甜味中隱約透出薑和肉桂香氣，旋即帶出烤蘋果的芳香,適中的甜味、麥芽香和微辛的口感
11,百齡罈紅璽調和威士忌,Ballantine's Finest,"威士忌, 調和威士忌, 蘇格蘭",360,400,瓶,,40.0,700mL,調和超過 50 種以上的麥芽威士忌與 4 種穀物威士忌，堅持使用百年相傳的調配手法，追求的是各酒風之間的協調與平衡，尤其是蘋果與香草味道的完美搭配，使其散發出馥郁的香氣。淡淡的香草味夾雜絲絲香甜，最適合夜晚享用。,非常優雅，蜂蜜也有點辛香料味,精緻，均衡的味道，帶有紅蘋果，香草和可可奶的香氣,持續時間很長
12,泰斯卡10年單一純麥威士忌,Talisker 10 Years Old Single Malt Scotch Whisky,"威士忌, 單一麥芽威士忌, 蘇格蘭",988,1235,瓶,10,45.8,700mL,泰斯卡目前仍然是斯凱島唯一的麥芽威士忌酒廠，獨特的蒸餾器排列賦予泰斯卡獨特的風格。這是以 45.8% 裝瓶的麥芽威士忌，主要風味來自波本桶所陳釀的原酒，它那獨特帶煙燻的甜味以及相當有力量的特性，讓它在盲飲測試中很容易被辨識出來。,強烈泥煤燻香中有海水的鹹味酒液中透出鮮牡蠣、柑橘等的甜香氣息,具有濃郁的乾燥水果香甜、濃密的煙燻及強烈的大麥麥芽風味，口感溫和而滋味鮮明，尤其在口腔後部還會迸發出強烈的胡椒風味,豐富而悠長，口感溫和且饒富胡椒滋味其甜美的滋味令人食慾大開 
13,泰斯卡斯凱島單一純麥威士忌,"Talisker Skye Single Malt Scotch Whisky
","威士忌, 單一麥芽威士忌, 蘇格蘭",1050,1250,瓶,,45.8,700mL,"TALISKER 於 2015 年推出新酒款——SKYE，以釀酒廠所在的美麗島嶼命名。
使用燒烤過的美國橡木桶熟成，除了招牌的煙燻味外，更帶有誘人的麥芽甜味、一絲海風氣息與若隱若現的八角茴香，你會訝異其獨特且豐富的多層次，深深刻進心靈的口感。",海水鹹、碘藥水、橘子、焦糖、香蕉、杏桃、白胡椒、木頭切開橫切面香氣,入口微苦柑橘皮、淡淡煙燻、些微的泥煤炭、橘子汁、糖煮水梨、油脂感中上、吞下後跑出香草奶油、微鹹甘口,尾韻是煙燻龍眼乾、深呼吸後令人舒服的燒柴焦炭味
14,渥福精選波本威士忌,Woodford Reserve Straight Bourbon Whiskey ,"威士忌, 波本威士忌, 美國",1099,1380,瓶,,43.2,1L,創建於西元 1812 年沃福郡歷史著名的 Labrot ﹠Graham 酒廠，是肯塔基州最古老、也是最小的酒廠，是肯塔基州唯一採用古老傳統製造方式釀製波本威士忌的酒廠，本身還保有精緻講究的銅製鍋式蒸餾器，酸麥芽漿在蒸餾器經過三次蒸餾，使產出的威士忌具有獨一無二的清純香氣與韻味，酒桶儲放於肯塔基唯一留下來的石砌陳年倉庫。這些建於 1800 年代的石灰岩倉庫形成一種微氣候，使波本威士忌能在其中，穩定、始終如一的緩慢熟成,濃厚的奶油味，香草與蜂蜜及淡淡的香料搭配微微煙燻,厚實飽滿，穀物的香甜與特濃的咖啡豆搭配，後味有一點點朗姆酒的味道,漫長成熟，烤麵包和穀物香料
15,留名溪9年小批次波本威士忌,Knob Creek 9 Year Old,"威士忌, 波本威士忌, 美國",640,800,瓶,9,50.0,750mL,留名溪波本威士忌於 1992 年推出。以林肯總統在肯德基的老家命名。酒齡 9 年，強烈波本風味的代表酒款，可品嚐出橡木甜味、水果、及香草的多層次風味。溫柔的殷紅色芳香，紫羅蘭的花香加上香熏的香味口感，風格淡雅，清爽而甘甜，口感非常順滑，入口即化。,紫羅蘭的花香加上香薰的香味,風格淡雅，清爽而甘甜，口感非常順滑，入口即化,濃濃的香草味
16,格蘭利威創者臻藏單一純麥威士忌,The Glenlivet Founders Reserve Single Malt Scotch Whisky,"威士忌, 單一麥芽威士忌, 蘇格蘭",599,750,瓶,,40.0,700mL,"採用清澈高山水源、高海拔的冷冽空氣，賦予格蘭利威創者臻藏的滑順口感和馥郁果香，與創辦人最初釀製的那款經典威士忌如出一轍。獨特的高頸燈籠型銅製蒸餾器，由創辦人親自設計，是品牌釀造工藝的重要傳承之一，而用於熟成威士忌的傳統橡木酒桶也為每款酒品樹立獨特風格。 格蘭利威創者臻藏單一純麥威士忌巧妙的酒桶選擇增強了 Glenlivet 的標誌性水果風味，傳統的橡木酒桶與選擇性地使用美國先灌裝的酒桶相輔相成，帶來淡淡的奶油甜味，創造出異常均衡且光滑的麥芽。",柑橘果實與甜橙香氣,清新柑橘、梨子與太妃糖蘋果風味,悠長、滑順的奶油香氣
17,格蘭啤酒桶調和威士忌,Grant's Cask Editions Ale Cask Finish Blended Scotch Whisky,"威士忌, 調和威士忌, 蘇格蘭",400,550,瓶,,40.0,700mL,"格蘭啤酒桶是全蘇格蘭唯一使用啤酒桶過桶技術的威士忌。其獨特的啤酒花苦味、焦糖布丁、蜂蜜與十足的奶油味，口感很柔滑的一款威士忌。
使用艾爾啤酒桶進行熟成，將威士忌陳放於獨家特製的艾爾啤酒橡木桶中，進行三個月的過桶熟成，讓酒桶所帶出的奶油麥芽香味，完美地融合原本帶有清新水果味的威士忌裡，展現出明顯帶有焦糖布丁奶油和柔滑的麥芽味道，清爽中可品嘗醇厚豐富的口感，亦能體驗到來自家族經營酒廠的獨特匠心。",香蕉、甜桃、香草、台啤、奶油、雞蛋糕、麥片、木屑、蘋果、穀物,入口輕柔，帶有細微的苦甜感，啤酒、麥芽、蘋果、木屑,穀物、啤酒
18,順風調和威士忌,Cutty Sark Blended Scotch Whisky,"威士忌, 調和威士忌, 蘇格蘭",399,499,瓶,,40.0,1L,"Cutty Sark 曾經是世界帆船史上最快記錄的長期保持者，現在停靠在倫敦。順風威士忌以這艘帆船命名，不僅僅是因為其最早的酒廠與這艘帆船的停靠地僅僅幾公里之遙，更因為調酒師們相信，這款威士忌能夠像 Cutty Sark 帆船一樣，快速的到達世界各地。 不像傳統蘇格蘭混合威士忌那樣追求濃厚的黃金色和口味，順風威士忌在調和時選用了入色最為少的美國櫟木酒桶裝的精選穀物威士忌，調配處獨特的口味與清淡色澤。這款調和威士忌口味清爽，色調淡雅，作為輕型調和威士忌的代表，值得嘗試。",帶著輕盈舒爽的薄荷、花草和奶油香氣,入口圓潤， 果皮和大量的麥芽香氣在嘴中綻放,麥芽香氣的尾韻溫暖且長久
19,口哨豬10年單一裸麥威士忌,Whistlepig 10 Years Straight Rye Whisky,"威士忌, 裸麥威士忌, 美國",2699,2800,瓶,10,50.0,750mL,口哨豬單一裸麥威士忌超越裸麥威士忌須至少 51% 的裸麥成分釀造標準，以 100% 裸麥釀造、運用獨特雙桶熟成工藝，在炙燒過的美國白橡木桶中陳年。首創自農莊手工裝瓶，帶來最純粹原始的強悍裸麥風味，展現威士忌、裸麥與熟成的極致平衡。,濃郁的肉豆蔻香料帶出橙皮香氣,裸麥風味，在香草與淡淡的蜂蜜香味後，帶有甜味、層次豐富,悠長香氣與淺淺橡木桶香
20,尊美醇愛爾蘭調和威士忌,Jameson Blended Irish Whiskey,"威士忌, 調和威士忌, 愛爾蘭",699,875,瓶,,43.0,1L,採用最富饒區域的天然大麥及泉水，經過三次蒸餾過程、長年醇放於橡木桶中，這些堅持造就了口感滑順的尊美醇愛爾蘭威士忌。愛爾蘭的石灰取得容易，便以石灰代替泥煤，經單式蒸餾機蒸餾三次，因此愛爾蘭的特點是沒有蘇格蘭威士忌的煙薰味，口感較為清淡溫和。,濃厚大麥的香甜味,三次蒸餾的特質表現在滑順的口感中,焦糖味以及些微雪利酒的香味
21,三隻猴子單一麥芽威士忌,Monkey Shoulder Malt Scotch Whisky,"威士忌, 單一麥芽威士忌, 蘇格蘭",588,750,瓶,,40.0,700mL,擺脫規則迷思，造就絕佳口感三隻猴子是支無拘無束、有趣的三重麥芽威士忌，從不強調產區、年份及酒廠間的風味差異。 先融合三間單一純麥酒廠的陳年波本桶威士忌原酒，再轉移至大型融合桶中熟成三個月完成，造就出滑順的豐富口感，且伴隨著柔和的香草氣息。 今年舊金山世界烈酒大賽中，三隻猴子成功吸引評審們的目光及味蕾，榮獲雙金牌獎，也是當今唯一獲得此殊榮的純麥威士忌！,濃郁花香味道，香草，蜂蜜味，蘋果香,清爽淡淡的滑順酒體，蜂蜜糖漿的感覺,香甜滑順，入喉後韻味持續性強
22,格蘭花格21年單一純麥威士忌,Glenfarclas 21 Year Old Speyside Single Malt Scotch Whisky,"威士忌, 單一麥芽威士忌, 蘇格蘭",2750,3438,瓶,21,40.0,700mL,格蘭花格 (Glenfarclas，蓋爾語中指青色草原之谷) 其酒廠座落於貝里詩 (Ben Rinnes) 山腳下，冬天的雪水溶化後成為釀造格蘭花格最重要的山泉水，只選用特優的榖類及歷代傳承的釀酒技術。使用西班牙雪莉酒橡木桶與美國白橡木桶分別陳年後，調和裝瓶，因此融合了兩種木桶的香味與顏色特性，所有的產品都不經調色處理。該酒款呈現暗金色的琥珀色澤，充足的香甜香草味與細緻的煙燻，口感豐富且持久。,強烈且充滿香氣，雪莉果香、熱帶水果、肉豆寇與杏仁氣味加上末尾的柑橘香，全部由香草般略帶點甜味的煙燻味在基底襯托,酒體飽滿圓潤，並慢慢釋放出果香、煙燻與稍微辛辣的口感,餘韻長而柔順，在舌根處揉和煙燻與巧克力香混合滋味
23,拉加維林9年單一純麥威士忌權力遊戲限量版,Lagavulin 9 Year Old Game Of Thrones House Lannister,"威士忌, 單一麥芽威士忌, 蘇格蘭",3699,4624,瓶,9,46.0,700mL,甘甜、濃郁的泥煤風味，搭配溫和、漸進的辛辣口感，入喉之後，甜味漸退而煙燻味漸升，純淨、悠長的泥煤風味在尾韻中點綴些許薄荷清香。,帶有微甜的煙燻爆發力，以及艾雷島獨有的煙燻海洋氣息酒體,強烈且帶有甜味，煙熏焦糖香蕉為主體，燒焦的棉花糖和香草味,淡淡的薄荷醇和鹹焦糖味
24,孤桶交易之屋20年波本威士忌,Orphan Barrel Barterhouse 20-Year-Old Bourbon,"威士忌, 波本威士忌, 美國",3199,3400,瓶,20,45.1,750mL,使用純淨天然泉水及優質穀物發酵，採用獨特之酸麥芽漿發酵法，以傳統蒸餾器蒸餾，並以獨特的糖楓木炭過濾，使酒液嚐起香醇不辛辣，而後再以全新燻燒製成的美國白橡木桶陳釀 4 年以上，木桶會隨著周圍氣候的改變而收縮、膨脹，威士忌就從木材內滲入滲出，而木材釋放出的獨特氣味就會與威士忌混合在一起，使威士忌帶有獨特芳香並呈現琥珀色。,焦糖，橡木燒焦和大茴香的香氣,甘草精製的口感，帶有橡木和肉桂的味道，還有一點香蕉味,眾多香料和柑橘
25,血誓波本威士忌條約第六號,Blood Oath Bourbon Whisky Pact No. 6,"威士忌, 波本威士忌, 美國",3199,3400,瓶,,49.3,750mL,使用純淨天然泉水及優質穀物發酵，採用獨特之酸麥芽漿發酵法，以傳統蒸餾器蒸餾，並以獨特的糖楓木炭過濾，使酒液嚐起香醇不辛辣，而後再以全新燻燒製成的美國白橡木桶陳釀 4 年以上，木桶會隨著周圍氣候的改變而收縮、膨脹，威士忌就從木材內滲入滲出，而木材釋放出的獨特氣味就會與威士忌混合在一起，使威士忌帶有獨特芳香並呈現琥珀色。,蜂蜜和杏仁在煙草和薑中交織在一起，甜美誘人,口感柔滑，杏仁甜到核果和香草，香料和糖漿、皮革和橡木的溫暖底色。,蜜餞、杏仁糖、黑可可和零陵香豆
26,波摩12年單一純麥威士忌,Bowmore 12 Year Old,"威士忌, 單一麥芽威士忌, 蘇格蘭",880,1100,瓶,12,40.0,700mL,波摩酒廠是蘇格蘭最古老的威士忌酒廠之一。自 1779 年創立以來，時至今日仍堅持使用最優良的古法釀酒，由代代相傳的師傅，以人工的方式攪動麥芽，接著以浸泡過海水的泥煤燻乾麥芽，賦予威士忌濃烈的海潮香氣；純淨無染的 Laggan 河，歷經了高山岩層及地下泥煤層的仔細過濾後，讓酒憑添幾許甘甜風味；而最後以西班牙雪莉酒和美國波本威士忌橡木桶陳年的過程，更讓波摩威士忌在低於海平面的神秘1號酒窖的長久沉睡中，得到最完美的孕育。,淡淡的檸檬、蜂蜜味緊緊環繞在波摩特有的煙燻味中,帶有黑巧克力及泥煤的煙燻口感,變化微妙且悠長
27,督伯汀225梭甸桶單一純麥威士忌,Tullibardine 225 Sauternes Cask Finish,"威士忌, 單一麥芽威士忌, 蘇格蘭",999,1299,瓶,,43.0,700mL,督伯汀酒廠位在蘇格蘭將要進入高地區入口附近的布萊克弗德小鎮裡。在大自然群山環繞下，採用了當地高山留下的天然泉水，泉水流過高山的玄武岩，紅砂岩，形成了純淨的礦泉水，配上特選的麥芽，選用窖藏之基酒搭配上 20 ~ 25 年原酒，在第一次的波本桶中，層層進化釀造熟成，演繹出動人心弦且口感均衡的威士忌。打造出督伯汀式充滿花香的佳釀,帶有迷人的柑橘清香,穀物麥香和香草輕柔芳香,帶出了鳳梨及橘皮持久不散的風味
28,古登卡露斯單一純麥威士忌,Gouden Carolus Single Malt Whisky,"威士忌, 單一麥芽威士忌, 比利時",1450,1800,瓶,,46.0,500mL,調和超過 50 種以上的麥芽威士忌與 4 種穀物威士忌，堅持使用百年相傳的調配手法，追求的是各酒風之間的協調與平衡，尤其是蘋果與香草味道的完美搭配，使其散發出馥郁的香氣。淡淡的香草味夾雜絲絲香甜，最適合夜晚享用。,甜而柑橘，帶有淡淡的草地和蜜瓜味,淡淡的葡萄柚味道融入檸檬草，然後是橙皮和皮革、茴香和銅的苦味,香甜滑順，入喉後韻味持續性強
29,布雷特波本威士忌,Bulleit Bourbon,"威士忌, 波本威士忌, 美國",740,980,瓶,,45.0,700mL,布雷特波本在製作時僅採用蒸餾過程之「中心」段，以確保布雷特波本維持最高等級之品質。布雷特波本有專屬的穀物部門，專門採收以布雷特指定方法種出的穀物，確保有穩定的高品質穀物貨源。獨特的製酒配方以極高裸麥比例為主打 (1/3 裸麥、2/3 玉米)，酒之性格大膽且有豐富辛香料風味，並有著獨特的滑順清新尾韻。至少 6 年的陳置時間使之完全熟成。,橡木的香氣，深色水果和香草的醇香,櫻桃風味，味道走向堅果太妃糖和香料，加上一些水果滋味,持久的楓木和橡木味停留
30,三得利響17年威士忌,Suntory Whisky Hibiki 17 Years Old,"威士忌, 調和威士忌, 日本",21000,26250,瓶,17,43.0,700mL,自然、時間與釀酒人心意的共鳴， 威士忌是集時間、自然、釀酒人心意的醇美， 其底蘊是日本文化中追究細微之處的執著， 憑藉來自山崎、白州、知多蒸餾廠中多采的原酒， 調酒師們以敏銳的五感， 點止闔化為滴滴美釀積蘊如藝術品般的「響」。 威士忌經過時間荏苒的醞釀， 最後封存在刻劃二十四個節氣的瓶中， 述說著來日本的自然、風土、文化、五感調和下， 讓人驚豔、感動、沉吟低迴的故事。 「響」不只是威士忌，是更多與人、與自然、與文化的共鳴。,桃子，杏子，甜瓜，玫瑰，百合，檸檬葉,太妃糖，黑櫻桃，香草和日本橡木,甜，果香，帶有荔枝回味
31,NIKKA FROM THE BARREL 調和威士忌,Nikka From The Barrel Double Matured Blended,"威士忌, 調和威士忌, 日本",1190,1380,瓶,,51.4,500mL,Nikka from the Barrel 其釀造方法是把麥芽威士忌和穀物威士忌調和後再直接注入橡木桶內陳年釀造，成酒後，沒有經過冷凝過濾，直接把酒從酒桶取出入瓶，其中調和原酒來自旗下宮城峽和余市蒸餾廠。特別的四方型設計瓶身與酒標文字，簡單敘述展現了簡約強烈的日式風格，包裝盒對角線的設計發揮了日本的摺紙工藝。,淡淡香草和橘子香,甜而不膩的焦糖甜帶淡淡的泥炭香,餘韻悠長，有著薄荷和水果香
32,英國龐貝藍鑽特級琴酒,Bombay Sapphire London Dry Gin,"琴酒, 英國",499,650,瓶,,40.0,700mL,不同於一般琴酒由 3 至 4 種以杜松子為主原料所製成，龐貝藍鑽特級琴酒包含了 10 種來自世界各地特別嚴選的精緻素材——義大利的杜松子、摩洛哥的胡荽、德國的白芷、西班牙的檸檬皮及杏仁、義大利的香鳶尾、西非的天堂砂、爪哇的畢橙茄、中南半島的肉桂與來自中國的甘草，層次豐富的天然口感來自於這十種草本精華的香氳：最後，將草本精華香氣與來自英國威爾斯高山凡尼湖的純淨泉水透過耗時且昂貴的三次蒸餾過程，緊密融合，神秘的酒液就此孕育。,藥草，青草香味，有一種行經中藥行門前的錯覺，陳皮、柑橘類的氣味,刺激而有勁道，有一種胡椒等辛香料的香辣,酒精感，溫暖，藥草香氣，飲用青草茶後的回甘香味
33,德國猴子47琴酒,Monkey 47 Dry Gin,"琴酒, 德國",1288,1610,瓶,,47.0,500mL,"來自德國黑森林的一種不尋常的琴酒，含有眾多獨特的成分，其中最獨特的成分就是蔓越莓。47 來自於進入這種獨特琴酒的植物使用的數量，以及它以 47％ 的酒精度裝瓶。
這整支酒採全手工製作，使用天然的軟質山泉水和豐富的異國香料，浸泡在法國糖蜜製成的烈酒中 36 個小時 。喝起來有著複雜的草本、花香、柑橘及辛香料味道，清新宜人。",木質的香氣，蔬菜的味道還帶有柑橘味和植物的甜味，如雨後的松樹林,複雜且強勁而有力的琴酒酒，含有大量的香料，水果和香草味。結構非常好，新鮮柑橘甜與松木和木材融合,雄厚且濃烈的木質餘味
34,蘇格蘭亨利爵士琴酒,Hendricks Gin,"琴酒, 蘇格蘭",1099,1364,瓶,,41.4,1L,獨特的香氛與氣味「亨利爵士」琴酒，蘊含濃郁迷人的植物香味，與杜松子，小黃瓜，胡萎絕妙合諧，並將紫羅蘭和玫瑰花瓣的香氛層層封存，形成入喉滑順，完美搭配植物清香的絕妙口感；啜飲品嚐之後，迭有複雜的氣味延伸，淡淡地柑橘和杜松子味，透著細緻清爽的小黃瓜和玫瑰香氣在口中四溢。,蘊含濃郁迷人的植物香味，與杜松子，小黃瓜，胡萎絕妙合諧，並將紫羅蘭和玫瑰花瓣的香氛層層封存,蘊含濃郁迷人的植物香味，與杜松子，小黃瓜，胡萎絕妙合諧，並將紫羅蘭和玫瑰花瓣的香氛層層封存,品後迭有複雜的氣味延伸，淡淡地柑橘和杜松子味，透著細緻清爽的小黃瓜和玫瑰香氣在口中四溢
35,美國科沃琴酒,Koval Dry Gin,"琴酒, 美國",1690,1800,瓶,,47.0,750mL,品嘗過 Koval Dry Gin 的人們，將從桶陳琴酒中得到相似的味道和口感——薔薇果、杜松子、白芷根和芫荽的清爽與輕快。但在 Dry Gin 已有的釀造工序之上，Koval 將其放入橡木桶中，讓金柑橘與其他香料混入更多層次的味道，增添些許奶油硬糖的甜美，香料與橡木的完美融合成就了 Koval 獨特的桶陳琴酒。「穀物原味裝瓶」的理念和對細節的極致追求在最終的產品中充分展現出來，這款獨特的烈酒讓琴酒和威士忌的愛好者都嘖嘖稱奇。,蘊含濃郁迷人的植物香味，與杜松子，小黃瓜，胡萎絕妙合諧，並將紫羅蘭和玫瑰花瓣的香氛層層封存,蘊含濃郁迷人的植物香味，與杜松子，小黃瓜，胡萎絕妙合諧，並將紫羅蘭和玫瑰花瓣的香氛層層封存,品後迭有複雜的氣味延伸，淡淡地柑橘和杜松子味，透著細緻清爽的小黃瓜和玫瑰香氣在口中四溢
36,日本六琴酒,Roku Gin,"琴酒, 日本",799,880,瓶,,43.0,700mL,六 (ROKU) 是琴酒工藝師純熟精確掌握各種原料，以及專注在製程上的細節所誕生的頂級琴酒。六 (ROKU) 使用了 6 種經典的日本植物：櫻花、櫻花葉、日本柚子皮、煎茶、玉露，日本山椒；這些植物都是順應四季時序，在植物最盛開的時候採收並擷取其中的精華及香氣，經過日本大阪三得利烈酒廠的日本琴酒工藝師浸製、蒸餾、最後調和而成。,櫻花和綠茶帶來花香和甜美的香氣,各種植物的複雜，多樣層次和諧的味道。基調的傳統琴酒口味，加上特色的日本植物香調，以柚子為首選,清爽的日本胡椒帶來一點點辛香的收尾
